#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"armsvc","0","157","46899200","6684672","1380352","9504","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","Adobe Systems Incorporated","0.015625","1.824.31.1644","1.824.31.1644","Adobe Acrobat Update Service","Adobe Acrobat Update Service","Process","8",,"False",,"4284","Microsoft.Win32.SafeHandles.SafeProcessHandle","157","2964",".","0","","System.Diagnostics.ProcessModule (armsvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9504","9504","1380352","1380352","94560","94560","1605632","1605632","6975488","6975488","50831360","50831360","True","Normal","1380352","1380352","00:00:00.0156250","armsvc","3","True","0","System.Diagnostics.ProcessStartInfo","3/29/2022 7:10:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","46899200","46899200","False",,,,"6684672","6684672",,
"ChsIME","2","160","2203439169536","8638464","1712128","9088","C:\Windows\System32\InputMethod\CHS\ChsIME.exe","Microsoft Corporation","0.015625","10.0.17763.1075 (WinBuild.160101.0800)","10.0.17763.1075","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"3960","Microsoft.Win32.SafeHandles.SafeProcessHandle","160","3652",".","0","","System.Diagnostics.ProcessModule (ChsIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9088","9088","1712128","1712128","172200","172200","1896448","1896448","8650752","8650752","124092416","2203442315264","True","Normal","1712128","1712128","00:00:00.0156250","ChsIME","3","True","2","System.Diagnostics.ProcessStartInfo","3/29/2022 8:28:08 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","120946688","2203439169536","False",,,,"8638464","8638464",,
"conhost","0","148","2203428687872","4202496","4190208","9496","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.453125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Console Window Host","Microsoft? Windows? Operating System","Process","6",,"False",,"3368","Microsoft.Win32.SafeHandles.SafeProcessHandle","148","4772",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9496","9496","4190208","4190208","147168","147168","4845568","4845568","10055680","10055680","111513600","2203429736448","True","BelowNormal","4190208","4190208","00:00:00.2812500","conhost","3","True","0","System.Diagnostics.ProcessStartInfo","3/29/2022 7:10:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4531250","00:00:00.1718750","110465024","2203428687872","False",,,,"4202496","4202496",,
"csrss","0","500","2203410239488","5439488","2277376","18960",,,"0.546875",,,,,"Process","13",,,,,,"500","404",".","0","",,,,,"18960","18960","2277376","2277376","217624","217624","2457600","2457600","5652480","5652480","94375936","2203412598784",,,"2277376","2277376","00:00:00.4531250","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","3/29/2022 7:10:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5468750","00:00:00.0937500","92016640","2203410239488","False",,,,"5439488","5439488",,
"csrss","1","160","2203401854976","4689920","1695744","13648",,,"0.078125",,,,,"Process","13",,,,,,"160","516",".","0","",,,,,"13648","13648","1695744","1695744","113080","113080","1867776","1867776","5099520","5099520","87601152","2203405824000",,,"1695744","1695744","00:00:00.0781250","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","3/29/2022 7:10:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00","83632128","2203401854976","False",,,,"4689920","4689920",,
"csrss","2","334","2203415072768","7106560","2207744","15392",,,"2.84375",,,,,"Process","13",,,,,,"334","1968",".","0","",,,,,"15392","15392","2207744","2207744","173088","173088","2326528","2326528","35442688","35442688","125546496","2203443769344",,,"2207744","2207744","00:00:02.7500000","csrss",,"True","2","System.Diagnostics.ProcessStartInfo","3/29/2022 8:28:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.8437500","00:00:00.0937500","96849920","2203415072768","False",,,,"7106560","7106560",,
"ctfmon","2","401","2203456724992","16834560","3870720","16224","C:\Windows\system32\ctfmon.exe","Microsoft Corporation","0.34375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"1536","Microsoft.Win32.SafeHandles.SafeProcessHandle","401","2184",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16224","16224","3870720","3870720","199272","199272","3878912","3878912","16916480","16916480","141131776","2203459354624","True","High","3870720","3870720","00:00:00.2187500","ctfmon","3","True","2","System.Diagnostics.ProcessStartInfo","3/29/2022 8:28:07 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3437500","00:00:00.1250000","138502144","2203456724992","False",,,,"16834560","16834560",,
"dllhost","2","210","2203468128256","12038144","3489792","16584","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.09375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3488","Microsoft.Win32.SafeHandles.SafeProcessHandle","210","2716",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16584","16584","3489792","3489792","143904","143904","5169152","5169152","12771328","12771328","161054720","2203479277568","True","Normal","3489792","3489792","00:00:00.0468750","dllhost","3","True","2","System.Diagnostics.ProcessStartInfo","3/29/2022 8:28:20 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0468750","149905408","2203468128256","False",,,,"12038144","12038144",,
"dllhost","0","256","2203413540864","14176256","4145152","14088","C:\Windows\system32\dllhost.exe","Microsoft Corporation","0.203125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3892","Microsoft.Win32.SafeHandles.SafeProcessHandle","256","3892",".","0","","System.Diagnostics.ProcessModule (dllhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14088","14088","4145152","4145152","107688","107688","4689920","4689920","14311424","14311424","105803776","2203424026624","True","Normal","4145152","4145152","00:00:00.0781250","dllhost","3","True","0","System.Diagnostics.ProcessStartInfo","3/29/2022 7:10:47 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2031250","00:00:00.1250000","95318016","2203413540864","False",,,,"14176256","14176256",,
"dns","0","10298","2203530481664","128565248","132186112","7587152","C:\Windows\system32\dns.exe","Microsoft Corporation","0.21875","10.0.17763.719 (WinBuild.160101.0800)","10.0.17763.719","Domain Name System (DNS) Server","Microsoft? Windows? Operating System","Process","8",,"False",,"3976","Microsoft.Win32.SafeHandles.SafeProcessHandle","10298","2996",".","0","","System.Diagnostics.ProcessModule (dns.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7587152","7587152","132186112","132186112","1284360","1284360","132784128","132784128","128651264","128651264","214355968","2203532578816","True","Normal","132186112","132186112","00:00:00.1718750","dns","3","True","0","System.Diagnostics.ProcessStartInfo","3/29/2022 7:10:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.0468750","212258816","2203530481664","False",,,,"128565248","128565248",,
"dwm","1","526","2203524648960","35991552","16961536","21608","C:\Windows\system32\dwm.exe","Microsoft Corporation","0.171875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"1308","Microsoft.Win32.SafeHandles.SafeProcessHandle","526","344",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21608","21608","16961536","16961536","299776","299776","23420928","23420928","39911424","39911424","216174592","2203534397440","True","High","16961536","16961536","00:00:00.1250000","dwm","3","True","1","System.Diagnostics.ProcessStartInfo","3/29/2022 7:10:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.0468750","206426112","2203524648960","False",,,,"35991552","35991552",,
"dwm","2","627","2203583782912","59256832","20463616","30576","C:\Windows\system32\dwm.exe","Microsoft Corporation","3.953125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"4264","Microsoft.Win32.SafeHandles.SafeProcessHandle","627","4044",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30576","30576","20463616","20463616","475424","475424","26304512","26304512","66699264","66699264","288628736","2203606851584","True","High","20463616","20463616","00:00:01.6718750","dwm","3","True","2","System.Diagnostics.ProcessStartInfo","3/29/2022 8:28:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.9531250","00:00:02.2812500","265560064","2203583782912","False",,,,"59256832","59256832",,
"explorer","2","1549","2203796516864","18628608","26619904","61520","C:\Windows\Explorer.EXE","Microsoft Corporation","6.984375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"3984","Microsoft.Win32.SafeHandles.SafeProcessHandle","1549","4724",".","131110","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","61520","61520","26619904","26619904","800104","800104","46858240","46858240","87044096","87044096","513908736","2203832131584","True","Normal","26619904","26619904","00:00:04.2031250","explorer","3","True","2","System.Diagnostics.ProcessStartInfo","3/29/2022 8:28:07 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.9843750","00:00:02.7812500","478294016","2203796516864","False",,,,"18628608","18628608",,
